collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,nug22,tos,1,1,3622.0,0.0,3596,0.007230255839822024,3576.647032289601,5.737890976006368,6.48074069840786,2.5744290045016185,0.34763669967651367,0.0,4727.0,4727.0,4727.0,False,3.274596408817317e-05
qaplib,esc32g,sfw,1,1,8.0,0.0,6,0.3333333333333333,3.8571430522346484,7.179787963829376,8.0,3.1824591828383477,0.012148618698120117,0.0,78.0,78.0,78.0,False,0.0
qaplib,esc32g,tos,1,1,6.0,0.0,6,0.0,2.869924714110656,5.878171654827996,8.0,5.1363830073864865,0.11767935752868652,0.0,1475.0,1475.0,1475.0,False,3.716500458226293e-05
qaplib,nug27,sfw,1,1,5312.0,0.0,5234,0.014902560183416125,5278.489750599126,5.911539930627162,6.48074069840786,2.075550029736237,0.024136781692504883,0.0,137.0,137.0,137.0,False,0.0
qaplib,nug27,tos,1,1,5514.0,0.0,5234,0.05349636988918609,5444.651345815649,5.989053529002079,6.782329983125268,3.06224155626225,0.3296477794647217,0.0,4397.0,4397.0,4397.0,False,1.9240704484096376e-05
qaplib,lipa90b,sfw,1,1,12490441.0,0.0,12490441,0.0,12490441.0,0.0,0.0,0.0,0.029011011123657227,0.0,16.0,16.0,16.0,False,0.0
qaplib,lipa90b,tos,1,1,12490441.0,0.0,12490441,0.0,12491399.079697067,0.006818457001769003,0.0,0.006818457001769003,1.3837881088256836,0.0,2683.0,2683.0,2683.0,False,8.72983456998742e-05
qaplib,chr20c,sfw,1,1,18198.0,0.0,14142,0.28680526092490455,18144.08180778032,6.278603780174405,6.324555320336759,0.35125858123569764,0.002466440200805664,0.0,8.0,8.0,8.0,False,0.0
qaplib,chr20c,tos,1,1,19742.0,0.0,14142,0.39598359496535146,19890.244455192005,5.407724895045342,5.830951894845301,2.1766765336864773,0.2520148754119873,0.0,3282.0,3282.0,3282.0,False,4.170104630467404e-05
qaplib,esc32h,sfw,1,1,446.0,0.0,438,0.0182648401826484,424.83610987057136,7.333227367738541,8.0,2.54112000635289,0.10218262672424316,0.0,564.0,564.0,564.0,False,0.0
qaplib,esc32h,tos,1,1,452.0,0.0,438,0.0319634703196347,424.9923691617002,6.233693348581816,7.874007874011811,4.394886918076858,0.3822462558746338,0.0,4638.0,4638.0,4638.0,False,2.6034887796508294e-05
qaplib,tho40,sfw,1,1,246688.0,0.0,240516,0.025661494453591446,245323.38591256808,8.140962812529775,8.831760866327848,2.739326215285508,0.031888484954833984,0.0,93.0,93.0,93.0,False,0.0
